astronaut,A person who is trained to travel in a spacecraft
bicycle,A vehicle composed of two wheels held in a frame one behind the other
camera,A device used to capture images
dolphin,A marine mammal known for its intelligence and playful behavior
keyboard,A set of keys on a computer or musical instrument
lighthouse,A tower with a light to guide ships at sea
microscope,An optical instrument used to view very small objects
penguin,A flightless bird that lives in the Southern Hemisphere
robot,A machine capable of carrying out a complex series of actions automatically
volcano,A mountain or hill with a crater through which lava, rock fragments, and gases erupt
