apple,A popular fruit with red or green skin, commonly used in pies
banana,A long yellow fruit with a soft, sweet interior and a thick peel
cat,A small domestic animal known for its independent nature and soft fur
dog,A loyal domestic animal often considered man's best friend
elephant,A large mammal known for its trunk and tusks, found in Africa and Asia
fish,A cold-blooded animal that lives in water and has gills and fins
giraffe,An African mammal known for its extremely long neck and legs
house,A structure built for humans to live in, providing shelter and comfort
lemon,A sour citrus fruit with a bright yellow skin, used in beverages and cooking
orange,A round citrus fruit with a tough, bright orange skin and sweet-tart flesh
